Heart Rate, Temperature, GSR, Expected Emotion
60, 33, 1, Relax
60, 33, 2, Relax
60, 33, 3, CALM
60, 33, 4, CALM
60, 33, 5, ANXIOUS
60, 33, 6, ANXIOUS
60, 34, 1, Relax
60, 34, 2, Relax
60, 34, 3, CALM
60, 34, 4, CALM
60, 34, 5, ANXIOUS
60, 34, 6, ANXIOUS
60, 35, 1, Relax
60, 35, 2, Relax
60, 35, 3, CALM
60, 35, 4, CALM
60, 35, 5, ANXIOUS
60, 35, 6, ANXIOUS
60, 36, 1, Relax
60, 36, 2, Relax
60, 36, 3, CALM
60, 36, 4, CALM
60, 36, 5, ANXIOUS
60, 36, 6, ANXIOUS
61, 33, 1, Relax
61, 33, 2, Relax
61, 33, 3, CALM
61, 33, 4, CALM
61, 33, 5, ANXIOUS
61, 33, 6, ANXIOUS
61, 34, 1, Relax
61, 34, 2, Relax
61, 34, 3, CALM
61, 34, 4, CALM
61, 34, 5, ANXIOUS
61, 34, 6, ANXIOUS
61, 35, 1, Relax
61, 35, 2, Relax
61, 35, 3, CALM
61, 35, 4, CALM
61, 35, 5, ANXIOUS
61, 35, 6, ANXIOUS
61, 36, 1, Relax
61, 36, 2, Relax
61, 36, 3, CALM
61, 36, 4, CALM
61, 36, 5, ANXIOUS
61, 36, 6, ANXIOUS
62, 33, 1, Relax
62, 33, 2, Relax
62, 33, 3, CALM
62, 33, 4, CALM
62, 33, 5, ANXIOUS
62, 33, 6, ANXIOUS
62, 34, 1, Relax
62, 34, 2, Relax
62, 34, 3, CALM
62, 34, 4, CALM
62, 34, 5, ANXIOUS
62, 34, 6, ANXIOUS
62, 35, 1, Relax
62, 35, 2, Relax
62, 35, 3, CALM
62, 35, 4, CALM
62, 35, 5, ANXIOUS
62, 35, 6, ANXIOUS
62, 36, 1, Relax
62, 36, 2, Relax
62, 36, 3, CALM
62, 36, 4, CALM
62, 36, 5, ANXIOUS
62, 36, 6, ANXIOUS
63, 33, 1, Relax
63, 33, 2, Relax
63, 33, 3, CALM
63, 33, 4, CALM
63, 33, 5, ANXIOUS
63, 33, 6, ANXIOUS
63, 34, 1, Relax
63, 34, 2, Relax
63, 34, 3, CALM
63, 34, 4, CALM
63, 34, 5, ANXIOUS
63, 34, 6, ANXIOUS
63, 35, 1, Relax
63, 35, 2, Relax
63, 35, 3, CALM
63, 35, 4, CALM
63, 35, 5, ANXIOUS
63, 35, 6, ANXIOUS
63, 36, 1, Relax
63, 36, 2, Relax
63, 36, 3, CALM
63, 36, 4, CALM
63, 36, 5, ANXIOUS
63, 36, 6, ANXIOUS
64, 33, 1, Relax
64, 33, 2, Relax
64, 33, 3, CALM
64, 33, 4, CALM
64, 33, 5, ANXIOUS
64, 33, 6, ANXIOUS
64, 34, 1, Relax
64, 34, 2, Relax
64, 34, 3, CALM
64, 34, 4, CALM
64, 34, 5, ANXIOUS
64, 34, 6, ANXIOUS
64, 35, 1, Relax
64, 35, 2, Relax
64, 35, 3, CALM
64, 35, 4, CALM
64, 35, 5, ANXIOUS
64, 35, 6, ANXIOUS
64, 36, 1, Relax
64, 36, 2, Relax
64, 36, 3, CALM
64, 36, 4, CALM
64, 36, 5, ANXIOUS
64, 36, 6, ANXIOUS
65, 33, 1, Relax
65, 33, 2, Relax
65, 33, 3, CALM
65, 33, 4, CALM
65, 33, 5, ANXIOUS
65, 33, 6, ANXIOUS
65, 34, 1, Relax
65, 34, 2, Relax
65, 34, 3, CALM
65, 34, 4, CALM
65, 34, 5, ANXIOUS
65, 34, 6, ANXIOUS
65, 35, 1, Relax
65, 35, 2, Relax
65, 35, 3, CALM
65, 35, 4, CALM
65, 35, 5, ANXIOUS
65, 35, 6, ANXIOUS
65, 36, 1, Relax
65, 36, 2, Relax
65, 36, 3, CALM
65, 36, 4, CALM
65, 36, 5, ANXIOUS
65, 36, 6, ANXIOUS
66, 33, 1, Relax
66, 33, 2, Relax
66, 33, 3, CALM
66, 33, 4, CALM
66, 33, 5, ANXIOUS
66, 33, 6, ANXIOUS
66, 34, 1, Relax
66, 34, 2, Relax
66, 34, 3, CALM
66, 34, 4, CALM
66, 34, 5, ANXIOUS
66, 34, 6, ANXIOUS
66, 35, 1, Relax
66, 35, 2, Relax
66, 35, 3, CALM
66, 35, 4, CALM
66, 35, 5, ANXIOUS
66, 35, 6, ANXIOUS
66, 36, 1, Relax
66, 36, 2, Relax
66, 36, 3, CALM
66, 36, 4, CALM
66, 36, 5, ANXIOUS
66, 36, 6, ANXIOUS
67, 33, 1, Relax
67, 33, 2, Relax
67, 33, 3, CALM
67, 33, 4, CALM
67, 33, 5, ANXIOUS
67, 33, 6, ANXIOUS
67, 34, 1, Relax
67, 34, 2, Relax
67, 34, 3, CALM
67, 34, 4, CALM
67, 34, 5, ANXIOUS
67, 34, 6, ANXIOUS
67, 35, 1, Relax
67, 35, 2, Relax
67, 35, 3, CALM
67, 35, 4, CALM
67, 35, 5, ANXIOUS
67, 35, 6, ANXIOUS
67, 36, 1, Relax
67, 36, 2, Relax
67, 36, 3, CALM
67, 36, 4, CALM
67, 36, 5, ANXIOUS
67, 36, 6, ANXIOUS
68, 33, 1, Relax
68, 33, 2, Relax
68, 33, 3, CALM
68, 33, 4, CALM
68, 33, 5, ANXIOUS
68, 33, 6, ANXIOUS
68, 34, 1, Relax
68, 34, 2, Relax
68, 34, 3, CALM
68, 34, 4, CALM
68, 34, 5, ANXIOUS
68, 34, 6, ANXIOUS
68, 35, 1, Relax
68, 35, 2, Relax
68, 35, 3, CALM
68, 35, 4, CALM
68, 35, 5, ANXIOUS
68, 35, 6, ANXIOUS
68, 36, 1, Relax
68, 36, 2, Relax
68, 36, 3, CALM
68, 36, 4, CALM
68, 36, 5, ANXIOUS
68, 36, 6, ANXIOUS
69, 33, 1, Relax
69, 33, 2, Relax
69, 33, 3, CALM
69, 33, 4, CALM
69, 33, 5, ANXIOUS
69, 33, 6, ANXIOUS
69, 34, 1, Relax
69, 34, 2, Relax
69, 34, 3, CALM
69, 34, 4, CALM
69, 34, 5, ANXIOUS
69, 34, 6, ANXIOUS
69, 35, 1, Relax
69, 35, 2, Relax
69, 35, 3, CALM
69, 35, 4, CALM
69, 35, 5, ANXIOUS
69, 35, 6, ANXIOUS
69, 36, 1, Relax
69, 36, 2, Relax
69, 36, 3, CALM
69, 36, 4, CALM
69, 36, 5, ANXIOUS
69, 36, 6, ANXIOUS
70, 33, 1, Relax
70, 33, 2, Relax
70, 33, 3, CALM
70, 33, 4, CALM
70, 33, 5, ANXIOUS
70, 33, 6, ANXIOUS
70, 34, 1, Relax
70, 34, 2, Relax
70, 34, 3, CALM
70, 34, 4, CALM
70, 34, 5, ANXIOUS
70, 34, 6, ANXIOUS
70, 35, 1, Relax
70, 35, 2, Relax
70, 35, 3, CALM
70, 35, 4, CALM
70, 35, 5, ANXIOUS
70, 35, 6, ANXIOUS
70, 36, 1, Relax
70, 36, 2, Relax
70, 36, 3, CALM
70, 36, 4, CALM
70, 36, 5, ANXIOUS
70, 36, 6, ANXIOUS
71, 33, 1, Relax
71, 33, 2, Relax
71, 33, 3, CALM
71, 33, 4, CALM
71, 33, 5, ANXIOUS
71, 33, 6, ANXIOUS
71, 34, 1, Relax
71, 34, 2, Relax
71, 34, 3, CALM
71, 34, 4, CALM
71, 34, 5, ANXIOUS
71, 34, 6, ANXIOUS
71, 35, 1, Relax
71, 35, 2, Relax
71, 35, 3, CALM
71, 35, 4, CALM
71, 35, 5, ANXIOUS
71, 35, 6, ANXIOUS
71, 36, 1, Relax
71, 36, 2, Relax
71, 36, 3, CALM
71, 36, 4, CALM
71, 36, 5, ANXIOUS
71, 36, 6, ANXIOUS
72, 33, 1, Relax
72, 33, 2, Relax
72, 33, 3, CALM
72, 33, 4, CALM
72, 33, 5, ANXIOUS
72, 33, 6, ANXIOUS
72, 34, 1, Relax
72, 34, 2, Relax
72, 34, 3, CALM
72, 34, 4, CALM
72, 34, 5, ANXIOUS
72, 34, 6, ANXIOUS
72, 35, 1, Relax
72, 35, 2, Relax
72, 35, 3, CALM
72, 35, 4, CALM
72, 35, 5, ANXIOUS
72, 35, 6, ANXIOUS
72, 36, 1, Relax
72, 36, 2, Relax
72, 36, 3, CALM
72, 36, 4, CALM
72, 36, 5, ANXIOUS
72, 36, 6, ANXIOUS
73, 33, 1, Relax
73, 33, 2, Relax
73, 33, 3, CALM
73, 33, 4, CALM
73, 33, 5, ANXIOUS
73, 33, 6, ANXIOUS
73, 34, 1, Relax
73, 34, 2, Relax
73, 34, 3, CALM
73, 34, 4, CALM
73, 34, 5, ANXIOUS
73, 34, 6, ANXIOUS
73, 35, 1, Relax
73, 35, 2, Relax
73, 35, 3, CALM
73, 35, 4, CALM
73, 35, 5, ANXIOUS
73, 35, 6, ANXIOUS
73, 36, 1, Relax
73, 36, 2, Relax
73, 36, 3, CALM
73, 36, 4, CALM
73, 36, 5, ANXIOUS
73, 36, 6, ANXIOUS
74, 33, 1, Relax
74, 33, 2, Relax
74, 33, 3, CALM
74, 33, 4, CALM
74, 33, 5, ANXIOUS
74, 33, 6, ANXIOUS
74, 34, 1, Relax
74, 34, 2, Relax
74, 34, 3, CALM
74, 34, 4, CALM
74, 34, 5, ANXIOUS
74, 34, 6, ANXIOUS
74, 35, 1, Relax
74, 35, 2, Relax
74, 35, 3, CALM
74, 35, 4, CALM
74, 35, 5, ANXIOUS
74, 35, 6, ANXIOUS
74, 36, 1, Relax
74, 36, 2, Relax
74, 36, 3, CALM
74, 36, 4, CALM
74, 36, 5, ANXIOUS
74, 36, 6, ANXIOUS
75, 33, 1, Relax
75, 33, 2, Relax
75, 33, 3, CALM
75, 33, 4, CALM
75, 33, 5, ANXIOUS
75, 33, 6, ANXIOUS
75, 34, 1, Relax
75, 34, 2, Relax
75, 34, 3, CALM
75, 34, 4, CALM
75, 34, 5, ANXIOUS
75, 34, 6, ANXIOUS
75, 35, 1, Relax
75, 35, 2, Relax
75, 35, 3, CALM
75, 35, 4, CALM
75, 35, 5, ANXIOUS
75, 35, 6, ANXIOUS
75, 36, 1, Relax
75, 36, 2, Relax
75, 36, 3, CALM
75, 36, 4, CALM
75, 36, 5, ANXIOUS
75, 36, 6, ANXIOUS
76, 33, 1, Relax
76, 33, 2, Relax
76, 33, 3, CALM
76, 33, 4, CALM
76, 33, 5, ANXIOUS
76, 33, 6, ANXIOUS
76, 34, 1, Relax
76, 34, 2, Relax
76, 34, 3, CALM
76, 34, 4, CALM
76, 34, 5, ANXIOUS
76, 34, 6, ANXIOUS
76, 35, 1, Relax
76, 35, 2, Relax
76, 35, 3, CALM
76, 35, 4, CALM
76, 35, 5, ANXIOUS
76, 35, 6, ANXIOUS
76, 36, 1, Relax
76, 36, 2, Relax
76, 36, 3, CALM
76, 36, 4, CALM
76, 36, 5, ANXIOUS
76, 36, 6, ANXIOUS
77, 33, 1, Relax
77, 33, 2, Relax
77, 33, 3, CALM
77, 33, 4, CALM
77, 33, 5, ANXIOUS
77, 33, 6, ANXIOUS
77, 34, 1, Relax
77, 34, 2, Relax
77, 34, 3, CALM
77, 34, 4, CALM
77, 34, 5, ANXIOUS
77, 34, 6, ANXIOUS
77, 35, 1, Relax
77, 35, 2, Relax
77, 35, 3, CALM
77, 35, 4, CALM
77, 35, 5, ANXIOUS
77, 35, 6, ANXIOUS
77, 36, 1, Relax
77, 36, 2, Relax
77, 36, 3, CALM
77, 36, 4, CALM
77, 36, 5, ANXIOUS
77, 36, 6, ANXIOUS
78, 33, 1, Relax
78, 33, 2, Relax
78, 33, 3, CALM
78, 33, 4, CALM
78, 33, 5, ANXIOUS
78, 33, 6, ANXIOUS
78, 34, 1, Relax
78, 34, 2, Relax
78, 34, 3, CALM
78, 34, 4, CALM
78, 34, 5, ANXIOUS
78, 34, 6, ANXIOUS
78, 35, 1, Relax
78, 35, 2, Relax
78, 35, 3, CALM
78, 35, 4, CALM
78, 35, 5, ANXIOUS
78, 35, 6, ANXIOUS
78, 36, 1, Relax
78, 36, 2, Relax
78, 36, 3, CALM
78, 36, 4, CALM
78, 36, 5, ANXIOUS
78, 36, 6, ANXIOUS
79, 33, 1, Relax
79, 33, 2, Relax
79, 33, 3, CALM
79, 33, 4, CALM
79, 33, 5, ANXIOUS
79, 33, 6, ANXIOUS
79, 34, 1, Relax
79, 34, 2, Relax
79, 34, 3, CALM
79, 34, 4, CALM
79, 34, 5, ANXIOUS
79, 34, 6, ANXIOUS
79, 35, 1, Relax
79, 35, 2, Relax
79, 35, 3, CALM
79, 35, 4, CALM
79, 35, 5, ANXIOUS
79, 35, 6, ANXIOUS
79, 36, 1, Relax
79, 36, 2, Relax
79, 36, 3, CALM
79, 36, 4, CALM
79, 36, 5, ANXIOUS
79, 36, 6, ANXIOUS
80, 33, 1, Relax
80, 33, 2, Relax
80, 33, 3, CALM
80, 33, 4, CALM
80, 33, 5, ANXIOUS
80, 33, 6, ANXIOUS
80, 34, 1, Relax
80, 34, 2, Relax
80, 34, 3, CALM
80, 34, 4, CALM
80, 34, 5, ANXIOUS
80, 34, 6, ANXIOUS
80, 35, 1, Relax
80, 35, 2, Relax
80, 35, 3, CALM
80, 35, 4, CALM
80, 35, 5, ANXIOUS
80, 35, 6, ANXIOUS
80, 36, 1, Relax
80, 36, 2, Relax
80, 36, 3, CALM
80, 36, 4, CALM
80, 36, 5, ANXIOUS
80, 36, 6, ANXIOUS
81, 33, 1, Relax
81, 33, 2, Relax
81, 33, 3, CALM
81, 33, 4, CALM
81, 33, 5, ANXIOUS
81, 33, 6, ANXIOUS
81, 34, 1, Relax
81, 34, 2, Relax
81, 34, 3, CALM
81, 34, 4, CALM
81, 34, 5, ANXIOUS
81, 34, 6, ANXIOUS
81, 35, 1, Relax
81, 35, 2, Relax
81, 35, 3, CALM
81, 35, 4, CALM
81, 35, 5, ANXIOUS
81, 35, 6, ANXIOUS
81, 36, 1, Relax
81, 36, 2, Relax
81, 36, 3, CALM
81, 36, 4, CALM
81, 36, 5, ANXIOUS
81, 36, 6, ANXIOUS
82, 33, 1, Relax
82, 33, 2, Relax
82, 33, 3, CALM
82, 33, 4, CALM
82, 33, 5, ANXIOUS
82, 33, 6, ANXIOUS
82, 34, 1, Relax
82, 34, 2, Relax
82, 34, 3, CALM
82, 34, 4, CALM
82, 34, 5, ANXIOUS
82, 34, 6, ANXIOUS
82, 35, 1, Relax
82, 35, 2, Relax
82, 35, 3, CALM
82, 35, 4, CALM
82, 35, 5, ANXIOUS
82, 35, 6, ANXIOUS
82, 36, 1, Relax
82, 36, 2, Relax
82, 36, 3, CALM
82, 36, 4, CALM
82, 36, 5, ANXIOUS
82, 36, 6, ANXIOUS
83, 33, 1, Relax
83, 33, 2, Relax
83, 33, 3, CALM
83, 33, 4, CALM
83, 33, 5, ANXIOUS
83, 33, 6, ANXIOUS
83, 34, 1, Relax
83, 34, 2, Relax
83, 34, 3, CALM
83, 34, 4, CALM
83, 34, 5, ANXIOUS
83, 34, 6, ANXIOUS
83, 35, 1, Relax
83, 35, 2, Relax
83, 35, 3, CALM
83, 35, 4, CALM
83, 35, 5, ANXIOUS
83, 35, 6, ANXIOUS
83, 36, 1, Relax
83, 36, 2, Relax
83, 36, 3, CALM
83, 36, 4, CALM
83, 36, 5, ANXIOUS
83, 36, 6, ANXIOUS
84, 33, 1, Relax
84, 33, 2, Relax
84, 33, 3, CALM
84, 33, 4, CALM
84, 33, 5, ANXIOUS
84, 33, 6, ANXIOUS
84, 34, 1, Relax
84, 34, 2, Relax
84, 34, 3, CALM
84, 34, 4, CALM
84, 34, 5, ANXIOUS
84, 34, 6, ANXIOUS
84, 35, 1, Relax
84, 35, 2, Relax
84, 35, 3, CALM
84, 35, 4, CALM
84, 35, 5, ANXIOUS
84, 35, 6, ANXIOUS
84, 36, 1, Relax
84, 36, 2, Relax
84, 36, 3, CALM
84, 36, 4, CALM
84, 36, 5, ANXIOUS
84, 36, 6, ANXIOUS
85, 33, 1, Relax
85, 33, 2, Relax
85, 33, 3, CALM
85, 33, 4, CALM
85, 33, 5, ANXIOUS
85, 33, 6, ANXIOUS
85, 34, 1, Relax
85, 34, 2, Relax
85, 34, 3, CALM
85, 34, 4, CALM
85, 34, 5, ANXIOUS
85, 34, 6, ANXIOUS
85, 35, 1, Relax
85, 35, 2, Relax
85, 35, 3, CALM
85, 35, 4, CALM
85, 35, 5, ANXIOUS
85, 35, 6, ANXIOUS
85, 36, 1, Relax
85, 36, 2, Relax
85, 36, 3, CALM
85, 36, 4, CALM
85, 36, 5, ANXIOUS
85, 36, 6, ANXIOUS
86, 33, 1, Relax
86, 33, 2, Relax
86, 33, 3, CALM
86, 33, 4, CALM
86, 33, 5, ANXIOUS
86, 33, 6, ANXIOUS
86, 34, 1, Relax
86, 34, 2, Relax
86, 34, 3, CALM
86, 34, 4, CALM
86, 34, 5, ANXIOUS
86, 34, 6, ANXIOUS
86, 35, 1, Relax
86, 35, 2, Relax
86, 35, 3, CALM
86, 35, 4, CALM
86, 35, 5, ANXIOUS
86, 35, 6, ANXIOUS
86, 36, 1, Relax
86, 36, 2, Relax
86, 36, 3, CALM
86, 36, 4, CALM
86, 36, 5, ANXIOUS
86, 36, 6, ANXIOUS
87, 33, 1, Relax
87, 33, 2, Relax
87, 33, 3, CALM
87, 33, 4, CALM
87, 33, 5, ANXIOUS
87, 33, 6, ANXIOUS
87, 34, 1, Relax
87, 34, 2, Relax
87, 34, 3, CALM
87, 34, 4, CALM
87, 34, 5, ANXIOUS
87, 34, 6, ANXIOUS
87, 35, 1, Relax
87, 35, 2, Relax
87, 35, 3, CALM
87, 35, 4, CALM
87, 35, 5, ANXIOUS
87, 35, 6, ANXIOUS
87, 36, 1, Relax
87, 36, 2, Relax
87, 36, 3, CALM
87, 36, 4, CALM
87, 36, 5, ANXIOUS
87, 36, 6, ANXIOUS
88, 33, 1, Relax
88, 33, 2, Relax
88, 33, 3, CALM
88, 33, 4, CALM
88, 33, 5, ANXIOUS
88, 33, 6, ANXIOUS
88, 34, 1, Relax
88, 34, 2, Relax
88, 34, 3, CALM
88, 34, 4, CALM
88, 34, 5, ANXIOUS
88, 34, 6, ANXIOUS
88, 35, 1, Relax
88, 35, 2, Relax
88, 35, 3, CALM
88, 35, 4, CALM
88, 35, 5, ANXIOUS
88, 35, 6, ANXIOUS
88, 36, 1, Relax
88, 36, 2, Relax
88, 36, 3, CALM
88, 36, 4, CALM
88, 36, 5, ANXIOUS
88, 36, 6, ANXIOUS
89, 33, 1, Relax
89, 33, 2, Relax
89, 33, 3, CALM
89, 33, 4, CALM
89, 33, 5, ANXIOUS
89, 33, 6, ANXIOUS
89, 34, 1, Relax
89, 34, 2, Relax
89, 34, 3, CALM
89, 34, 4, CALM
89, 34, 5, ANXIOUS
89, 34, 6, ANXIOUS
89, 35, 1, Relax
89, 35, 2, Relax
89, 35, 3, CALM
89, 35, 4, CALM
89, 35, 5, ANXIOUS
89, 35, 6, ANXIOUS
89, 36, 1, Relax
89, 36, 2, Relax
89, 36, 3, CALM
89, 36, 4, CALM
89, 36, 5, ANXIOUS
89, 36, 6, ANXIOUS
90, 33, 1, Relax
90, 33, 2, Relax
90, 33, 3, CALM
90, 33, 4, CALM
90, 33, 5, ANXIOUS
90, 33, 6, ANXIOUS
90, 34, 1, Relax
90, 34, 2, Relax
90, 34, 3, CALM
90, 34, 4, CALM
90, 34, 5, ANXIOUS
90, 34, 6, ANXIOUS
90, 35, 1, Relax
90, 35, 2, Relax
90, 35, 3, CALM
90, 35, 4, CALM
90, 35, 5, ANXIOUS
90, 35, 6, ANXIOUS
90, 36, 1, Relax
90, 36, 2, Relax
90, 36, 3, CALM
90, 36, 4, CALM
90, 36, 5, ANXIOUS
90, 36, 6, ANXIOUS
91, 33, 1, Relax
91, 33, 2, Relax
91, 33, 3, CALM
91, 33, 4, CALM
91, 33, 5, ANXIOUS
91, 33, 6, ANXIOUS
91, 34, 1, Relax
91, 34, 2, Relax
91, 34, 3, CALM
91, 34, 4, CALM
91, 34, 5, ANXIOUS
91, 34, 6, ANXIOUS
91, 35, 1, Relax
91, 35, 2, Relax
91, 35, 3, CALM
91, 35, 4, CALM
91, 35, 5, ANXIOUS
91, 35, 6, ANXIOUS
91, 36, 1, Relax
91, 36, 2, Relax
91, 36, 3, CALM
91, 36, 4, CALM
91, 36, 5, ANXIOUS
91, 36, 6, ANXIOUS
92, 33, 1, Relax
92, 33, 2, Relax
92, 33, 3, CALM
92, 33, 4, CALM
92, 33, 5, ANXIOUS
92, 33, 6, ANXIOUS
92, 34, 1, Relax
92, 34, 2, Relax
92, 34, 3, CALM
92, 34, 4, CALM
92, 34, 5, ANXIOUS
92, 34, 6, ANXIOUS
92, 35, 1, Relax
92, 35, 2, Relax
92, 35, 3, CALM
92, 35, 4, CALM
92, 35, 5, ANXIOUS
92, 35, 6, ANXIOUS
92, 36, 1, Relax
92, 36, 2, Relax
92, 36, 3, CALM
92, 36, 4, CALM
92, 36, 5, ANXIOUS
92, 36, 6, ANXIOUS
93, 33, 1, Relax
93, 33, 2, Relax
93, 33, 3, CALM
93, 33, 4, CALM
93, 33, 5, ANXIOUS
93, 33, 6, ANXIOUS
93, 34, 1, Relax
93, 34, 2, Relax
93, 34, 3, CALM
93, 34, 4, CALM
93, 34, 5, ANXIOUS
93, 34, 6, ANXIOUS
93, 35, 1, Relax
93, 35, 2, Relax
93, 35, 3, CALM
93, 35, 4, CALM
93, 35, 5, ANXIOUS
93, 35, 6, ANXIOUS
93, 36, 1, Relax
93, 36, 2, Relax
93, 36, 3, CALM
93, 36, 4, CALM
93, 36, 5, ANXIOUS
93, 36, 6, ANXIOUS
94, 33, 1, Relax
94, 33, 2, Relax
94, 33, 3, CALM
94, 33, 4, CALM
94, 33, 5, ANXIOUS
94, 33, 6, ANXIOUS
94, 34, 1, Relax
94, 34, 2, Relax
94, 34, 3, CALM
94, 34, 4, CALM
94, 34, 5, ANXIOUS
94, 34, 6, ANXIOUS
94, 35, 1, Relax
94, 35, 2, Relax
94, 35, 3, CALM
94, 35, 4, CALM
94, 35, 5, ANXIOUS
94, 35, 6, ANXIOUS
94, 36, 1, Relax
94, 36, 2, Relax
94, 36, 3, CALM
94, 36, 4, CALM
94, 36, 5, ANXIOUS
94, 36, 6, ANXIOUS
95, 33, 1, Relax
95, 33, 2, Relax
95, 33, 3, CALM
95, 33, 4, CALM
95, 33, 5, ANXIOUS
95, 33, 6, ANXIOUS
95, 34, 1, Relax
95, 34, 2, Relax
95, 34, 3, CALM
95, 34, 4, CALM
95, 34, 5, ANXIOUS
95, 34, 6, ANXIOUS
95, 35, 1, Relax
95, 35, 2, Relax
95, 35, 3, CALM
95, 35, 4, CALM
95, 35, 5, ANXIOUS
95, 35, 6, ANXIOUS
95, 36, 1, Relax
95, 36, 2, Relax
95, 36, 3, CALM
95, 36, 4, CALM
95, 36, 5, ANXIOUS
95, 36, 6, ANXIOUS
96, 33, 1, Relax
96, 33, 2, Relax
96, 33, 3, CALM
96, 33, 4, CALM
96, 33, 5, ANXIOUS
96, 33, 6, ANXIOUS
96, 34, 1, Relax
96, 34, 2, Relax
96, 34, 3, CALM
96, 34, 4, CALM
96, 34, 5, ANXIOUS
96, 34, 6, ANXIOUS
96, 35, 1, Relax
96, 35, 2, Relax
96, 35, 3, CALM
96, 35, 4, CALM
96, 35, 5, ANXIOUS
96, 35, 6, ANXIOUS
96, 36, 1, Relax
96, 36, 2, Relax
96, 36, 3, CALM
96, 36, 4, CALM
96, 36, 5, ANXIOUS
96, 36, 6, ANXIOUS
97, 33, 1, Relax
97, 33, 2, Relax
97, 33, 3, CALM
97, 33, 4, CALM
97, 33, 5, ANXIOUS
97, 33, 6, ANXIOUS
97, 34, 1, Relax
97, 34, 2, Relax
97, 34, 3, CALM
97, 34, 4, CALM
97, 34, 5, ANXIOUS
97, 34, 6, ANXIOUS
97, 35, 1, Relax
97, 35, 2, Relax
97, 35, 3, CALM
97, 35, 4, CALM
97, 35, 5, ANXIOUS
97, 35, 6, ANXIOUS
97, 36, 1, Relax
97, 36, 2, Relax
97, 36, 3, CALM
97, 36, 4, CALM
97, 36, 5, ANXIOUS
97, 36, 6, ANXIOUS
98, 33, 1, Relax
98, 33, 2, Relax
98, 33, 3, CALM
98, 33, 4, CALM
98, 33, 5, ANXIOUS
98, 33, 6, ANXIOUS
98, 34, 1, Relax
98, 34, 2, Relax
98, 34, 3, CALM
98, 34, 4, CALM
98, 34, 5, ANXIOUS
98, 34, 6, ANXIOUS
98, 35, 1, Relax
98, 35, 2, Relax
98, 35, 3, CALM
98, 35, 4, CALM
98, 35, 5, ANXIOUS
98, 35, 6, ANXIOUS
98, 36, 1, Relax
98, 36, 2, Relax
98, 36, 3, CALM
98, 36, 4, CALM
98, 36, 5, ANXIOUS
98, 36, 6, ANXIOUS
99, 33, 1, Relax
99, 33, 2, Relax
99, 33, 3, CALM
99, 33, 4, CALM
99, 33, 5, ANXIOUS
99, 33, 6, ANXIOUS
99, 34, 1, Relax
99, 34, 2, Relax
99, 34, 3, CALM
99, 34, 4, CALM
99, 34, 5, ANXIOUS
99, 34, 6, ANXIOUS
99, 35, 1, Relax
99, 35, 2, Relax
99, 35, 3, CALM
99, 35, 4, CALM
99, 35, 5, ANXIOUS
99, 35, 6, ANXIOUS
99, 36, 1, Relax
99, 36, 2, Relax
99, 36, 3, CALM
99, 36, 4, CALM
99, 36, 5, ANXIOUS
99, 36, 6, ANXIOUS
